feature,mean_abs_shap,feature_type,days_back
Soc_h3_day_minus4,0.0,Soc,4
Soc_h4_day_minus4,0.0,Soc,4
Soc_h5_day_minus4,0.0,Soc,4
Soc_h6_day_minus4,0.0,Soc,4
Soc_h7_day_minus4,0.0,Soc,4
Soc_h8_day_minus4,0.0,Soc,4
Soc_h9_day_minus4,0.0,Soc,4
Soc_h10_day_minus4,0.0,Soc,4
Soc_h11_day_minus4,0.0,Soc,4
Soc_h12_day_minus4,0.0,Soc,4
Soc_h13_day_minus4,0.0,Soc,4
Soc_h14_day_minus4,0.0,Soc,4
Soc_h15_day_minus4,0.0,Soc,4
Soc_h16_day_minus4,0.0,Soc,4
Soc_h16_day_minus14,0.0,Soc,14
Soc_h18_day_minus4,0.0,Soc,4
Soc_h19_day_minus4,0.0,Soc,4
Soc_h20_day_minus4,0.0,Soc,4
Soc_h21_day_minus4,0.0,Soc,4
Soc_h22_day_minus4,0.0,Soc,4
Soc_h23_day_minus4,0.0,Soc,4
dayofweek_day_minus4,0.0,Date,4
Soc_h17_day_minus14,0.0,Soc,14
month_day_minus4,0.0,Date,4
year_day_minus4,0.0,Date,4
Soc_h18_day_minus14,0.0,Soc,14
dSocdt_h1_day_minus3,0.0,dSocdt,3
Soc_h19_day_minus14,0.0,Soc,14
Soc_h20_day_minus14,0.0,Soc,14
dSocdt_h4_day_minus3,0.0,dSocdt,3
Soc_h21_day_minus14,0.0,Soc,14
Soc_h22_day_minus14,0.0,Soc,14
Soc_h23_day_minus14,0.0,Soc,14
dSocdt_h8_day_minus3,0.0,dSocdt,3
dayofweek_day_minus14,0.0,Date,14
day_day_minus14,0.0,Date,14
month_day_minus14,0.0,Date,14
year_day_minus14,0.0,Date,14
dSocdt_h0_day_minus13,0.0,dSocdt,13
dSocdt_h1_day_minus13,0.0,dSocdt,13
dSocdt_h2_day_minus13,0.0,dSocdt,13
dSocdt_h3_day_minus13,0.0,dSocdt,13
dSocdt_h17_day_minus3,0.0,dSocdt,3
dSocdt_h18_day_minus3,0.0,dSocdt,3
dSocdt_h4_day_minus13,0.0,dSocdt,13
dSocdt_h5_day_minus13,0.0,dSocdt,13
dSocdt_h6_day_minus13,0.0,dSocdt,13
dSocdt_h7_day_minus13,0.0,dSocdt,13
dSocdt_h8_day_minus13,0.0,dSocdt,13
Soc_h0_day_minus3,0.0,Soc,3
Soc_h1_day_minus3,0.0,Soc,3
Soc_h2_day_minus3,0.0,Soc,3
Soc_h3_day_minus3,0.0,Soc,3
Soc_h4_day_minus3,0.0,Soc,3
Soc_h5_day_minus3,0.0,Soc,3
Soc_h6_day_minus3,0.0,Soc,3
Soc_h7_day_minus3,0.0,Soc,3
Soc_h8_day_minus3,0.0,Soc,3
Soc_h9_day_minus3,0.0,Soc,3
Soc_h10_day_minus3,0.0,Soc,3
Soc_h11_day_minus3,0.0,Soc,3
Soc_h12_day_minus3,0.0,Soc,3
dSocdt_h9_day_minus13,0.0,dSocdt,13
Soc_h14_day_minus3,0.0,Soc,3
Soc_h15_day_minus3,0.0,Soc,3
dSocdt_h10_day_minus13,0.0,dSocdt,13
Soc_h17_day_minus3,0.0,Soc,3
dSocdt_h11_day_minus13,0.0,dSocdt,13
Soc_h19_day_minus3,0.0,Soc,3
Soc_h20_day_minus3,0.0,Soc,3
Soc_h21_day_minus3,0.0,Soc,3
dSocdt_h12_day_minus13,0.0,dSocdt,13
dSocdt_h13_day_minus13,0.0,dSocdt,13
dayofweek_day_minus3,0.0,Date,3
dSocdt_h14_day_minus13,0.0,dSocdt,13
month_day_minus3,0.0,Date,3
year_day_minus3,0.0,Date,3
dSocdt_h15_day_minus13,0.0,dSocdt,13
dSocdt_h16_day_minus13,0.0,dSocdt,13
dSocdt_h17_day_minus13,0.0,dSocdt,13
dSocdt_h18_day_minus13,0.0,dSocdt,13
dSocdt_h19_day_minus13,0.0,dSocdt,13
dSocdt_h20_day_minus13,0.0,dSocdt,13
dSocdt_h21_day_minus13,0.0,dSocdt,13
dSocdt_h22_day_minus13,0.0,dSocdt,13
dSocdt_h23_day_minus13,0.0,dSocdt,13
Soc_h0_day_minus13,0.0,Soc,13
Soc_h1_day_minus13,0.0,Soc,13
Soc_h2_day_minus13,0.0,Soc,13
Soc_h1_day_minus4,0.0,Soc,4
Soc_h3_day_minus13,0.0,Soc,13
Soc_h4_day_minus13,0.0,Soc,13
Soc_h5_day_minus13,0.0,Soc,13
Soc_h6_day_minus13,0.0,Soc,13
Soc_h7_day_minus13,0.0,Soc,13
Soc_h8_day_minus13,0.0,Soc,13
Soc_h9_day_minus13,0.0,Soc,13
Soc_h10_day_minus13,0.0,Soc,13
Soc_h11_day_minus13,0.0,Soc,13
Soc_h12_day_minus13,0.0,Soc,13
Soc_h13_day_minus13,0.0,Soc,13
Soc_h0_day_minus2,0.0,Soc,2
Soc_h1_day_minus2,0.0,Soc,2
Soc_h14_day_minus13,0.0,Soc,13
Soc_h3_day_minus2,0.0,Soc,2
Soc_h4_day_minus2,0.0,Soc,2
Soc_h5_day_minus2,0.0,Soc,2
Soc_h15_day_minus13,0.0,Soc,13
Soc_h16_day_minus13,0.0,Soc,13
Soc_h8_day_minus2,0.0,Soc,2
Soc_h17_day_minus13,0.0,Soc,13
Soc_h18_day_minus13,0.0,Soc,13
Soc_h11_day_minus2,0.0,Soc,2
Soc_h12_day_minus2,0.0,Soc,2
Soc_h13_day_minus2,0.0,Soc,2
Soc_h14_day_minus2,0.0,Soc,2
Soc_h15_day_minus2,0.0,Soc,2
Soc_h16_day_minus2,0.0,Soc,2
Soc_h19_day_minus13,0.0,Soc,13
Soc_h20_day_minus13,0.0,Soc,13
Soc_h19_day_minus2,0.0,Soc,2
Soc_h20_day_minus2,0.0,Soc,2
Soc_h21_day_minus2,0.0,Soc,2
Soc_h21_day_minus13,0.0,Soc,13
Soc_h23_day_minus2,0.0,Soc,2
dayofweek_day_minus2,0.0,Date,2
Soc_h22_day_minus13,0.0,Soc,13
month_day_minus2,0.0,Date,2
year_day_minus2,0.0,Date,2
Soc_h23_day_minus13,0.0,Soc,13
dayofweek_day_minus13,0.0,Date,13
day_day_minus13,0.0,Date,13
month_day_minus13,0.0,Date,13
year_day_minus13,0.0,Date,13
dSocdt_h0_day_minus12,0.0,dSocdt,12
dSocdt_h1_day_minus12,0.0,dSocdt,12
dSocdt_h2_day_minus12,0.0,dSocdt,12
dSocdt_h3_day_minus12,0.0,dSocdt,12
dSocdt_h4_day_minus12,0.0,dSocdt,12
dSocdt_h5_day_minus12,0.0,dSocdt,12
dSocdt_h6_day_minus12,0.0,dSocdt,12
dSocdt_h7_day_minus12,0.0,dSocdt,12
dSocdt_h8_day_minus12,0.0,dSocdt,12
dSocdt_h9_day_minus12,0.0,dSocdt,12
dSocdt_h10_day_minus12,0.0,dSocdt,12
dSocdt_h11_day_minus12,0.0,dSocdt,12
dSocdt_h12_day_minus12,0.0,dSocdt,12
dSocdt_h13_day_minus12,0.0,dSocdt,12
dSocdt_h14_day_minus12,0.0,dSocdt,12
dSocdt_h4_day_minus14,0.0,dSocdt,14
dSocdt_h15_day_minus12,0.0,dSocdt,12
dSocdt_h16_day_minus12,0.0,dSocdt,12
dSocdt_h17_day_minus12,0.0,dSocdt,12
Soc_h0_day_minus1,0.0,Soc,1
Soc_h1_day_minus1,0.0,Soc,1
Soc_h2_day_minus1,0.0,Soc,1
Soc_h3_day_minus1,0.0,Soc,1
dSocdt_h18_day_minus12,0.0,dSocdt,12
dSocdt_h19_day_minus12,0.0,dSocdt,12
dSocdt_h20_day_minus12,0.0,dSocdt,12
dSocdt_h21_day_minus12,0.0,dSocdt,12
dSocdt_h22_day_minus12,0.0,dSocdt,12
dSocdt_h23_day_minus12,0.0,dSocdt,12
Soc_h0_day_minus12,0.0,Soc,12
dSocdt_h7_day_minus14,0.0,dSocdt,14
dSocdt_h6_day_minus14,0.0,dSocdt,14
Soc_h1_day_minus12,0.0,Soc,12
Soc_h2_day_minus12,0.0,Soc,12
Soc_h3_day_minus12,0.0,Soc,12
Soc_h4_day_minus12,0.0,Soc,12
Soc_h5_day_minus12,0.0,Soc,12
Soc_h6_day_minus12,0.0,Soc,12
Soc_h7_day_minus12,0.0,Soc,12
Soc_h8_day_minus12,0.0,Soc,12
Soc_h9_day_minus12,0.0,Soc,12
Soc_h10_day_minus12,0.0,Soc,12
Soc_h11_day_minus12,0.0,Soc,12
dayofweek_day_minus1,0.0,Date,1
Soc_h12_day_minus12,0.0,Soc,12
Soc_h13_day_minus12,0.0,Soc,12
dSocdt_h23_day_minus14,0.0,dSocdt,14
